Algorithm: MVA							
D for Peticion at Servidor [s] 	Class 	Throughput (Inyector) 	Residence time (Inyector) 	Utilization (Inyector)	Throughput (Servidor) 	Residence time (Servidor) 	Utilization (Servidor)
0,0031	 Peticion	49,69860188	0,6	29,81916113	49,69860188	0,003638711	0,154065666
0,005234483	 Peticion	49,42708028	0,6	29,65624817	49,42708028	0,006954727	0,2587252
0,007368966	 Peticion	49,08160707	0,6	29,44896424	49,08160707	0,01122693	0,36168067
0,009503448	 Peticion	48,63448742	0,6	29,18069245	48,63448742	0,016846226	0,462195336
0,011637931	 Peticion	48,04735672	0,6	28,82841403	48,04735672	0,024383984	0,559171824
0,013772414	 Peticion	47,26967901	0,6	28,36180741	47,26967901	0,034656309	0,651017579
0,015906897	 Peticion	46,24136359	0,6	27,74481816	46,24136359	0,048769795	0,735556587
0,018041379	 Peticion	44,90430724	0,6	26,94258434	44,90430724	0,068087358	0,81013564
0,020175862	 Peticion	43,225896	0,6	25,9355376	43,225896	0,094028413	0,872119716
0,022310345	 Peticion	41,2275057	0,6	24,73650342	41,2275057	0,127669537	0,919799868
0,024444828	 Peticion	38,99718844	0,6	23,39831307	38,99718844	0,169286228	0,953279548
0,02657931	 Peticion	36,66836233	0,6	22,0010174	36,66836233	0,218143983	0,974619782
0,028713793	 Peticion	34,37448558	0,6	20,62469135	34,37448558	0,272740333	0,987021867
0,030848276	 Peticion	32,21169468	0,6	19,32701681	32,21169468	0,331338767	0,993675243
0,032982759	 Peticion	30,2286574	0,6	18,13719444	30,2286574	0,392435741	0,99702451
0,035117241	 Peticion	28,43711559	0,6	17,06226935	28,43711559	0,454959316	0,998633052
0,037251724	 Peticion	26,82777665	0,6	16,09666599	26,82777665	0,51824399	0,999380935
0,039386207	 Peticion	25,38252963	0,6	15,22951778	25,38252963	0,581915295	0,999721564
0,04152069	 Peticion	24,0813661	0,6	14,44881966	24,0813661	0,645776501	0,999874928
0,043655172	 Peticion	22,90550239	0,6	13,74330143	22,90550239	0,709728968	0,999943656
0,045789655	 Peticion	21,83843625	0,6	13,10306175	21,83843625	0,773724733	0,999974465
0,047924138	 Peticion	20,86606824	0,6	12,51964095	20,86606824	0,837740913	0,999988333
0,050058621	 Peticion	19,97647163	0,6	11,98588298	19,97647163	0,901766706	0,999994616
0,052193103	 Peticion	19,15957133	0,6	11,4957428	19,15957133	0,965797036	0,999997488
0,054327586	 Peticion	18,40683315	0,6	11,04409989	18,40683315	1,029829518	0,999998815
0,056462069	 Peticion	17,71099522	0,6	10,62659713	17,71099522	1,093863028	0,999999434
0,058596552	 Peticion	17,06584597	0,6	10,23950758	17,06584597	1,157897033	0,999999726
0,060731034	 Peticion	16,46604367	0,6	9,8796262	16,46604367	1,221931279	0,999999866
0,062865517	 Peticion	15,90697058	0,6	9,544182349	15,90697058	1,285965643	0,999999933
0,065	 Peticion	15,38461487	0,6	9,230768922	15,38461487	1,350000065	0,999999967
