Algorithm: MVA							
D for Peticion at Servidor [s] 	Class 	Throughput (Inyector) 	Residence time (Inyector) 	Utilization (Inyector)	Throughput (Servidor) 	Residence time (Servidor) 	Utilization (Servidor)
0,0031	 Peticion	8,289609441	0,6	4,973765665	8,289609441	0,003164725	0,025697789
0,005234483	 Peticion	8,258725308	0,6	4,955235185	8,258725308	0,005420306	0,043230155
0,007368966	 Peticion	8,227205821	0,6	4,936323493	8,227205821	0,007739749	0,060625996
0,009503448	 Peticion	8,195051595	0,6	4,917030957	8,195051595	0,010124286	0,077881249
0,011637931	 Peticion	8,162264254	0,6	4,897358552	8,162264254	0,012575119	0,094991868
0,013772414	 Peticion	8,12884645	0,6	4,87730787	8,12884645	0,015093424	0,111953837
0,015906897	 Peticion	8,094801874	0,6	4,856881124	8,094801874	0,017680343	0,128763176
0,018041379	 Peticion	8,060135256	0,6	4,836081153	8,060135256	0,020336985	0,145415957
0,020175862	 Peticion	8,024852371	0,6	4,814911422	8,024852371	0,023064422	0,161908315
0,022310345	 Peticion	7,988960032	0,6	4,793376019	7,988960032	0,025863689	0,178236453
0,024444828	 Peticion	7,952466086	0,6	4,771479651	7,952466086	0,028735784	0,194396662
0,02657931	 Peticion	7,915379393	0,6	4,749227636	7,915379393	0,031681661	0,210385325
0,028713793	 Peticion	7,877709819	0,6	4,726625891	7,877709819	0,034702231	0,22619893
0,030848276	 Peticion	7,839468205	0,6	4,703680923	7,839468205	0,037798365	0,241834078
0,032982759	 Peticion	7,800666345	0,6	4,680399807	7,800666345	0,040970884	0,257287495
0,035117241	 Peticion	7,761316958	0,6	4,656790175	7,761316958	0,044220565	0,272556041
0,037251724	 Peticion	7,721433653	0,6	4,632860192	7,721433653	0,04754814	0,287636716
0,039386207	 Peticion	7,681030889	0,6	4,608618533	7,681030889	0,050954289	0,302526672
0,04152069	 Peticion	7,64012394	0,6	4,584074364	7,64012394	0,054439645	0,317223215
0,043655172	 Peticion	7,598728849	0,6	4,559237309	7,598728849	0,058004793	0,331723818
0,045789655	 Peticion	7,556862383	0,6	4,53411743	7,556862383	0,061650265	0,346026123
0,047924138	 Peticion	7,514541985	0,6	4,508725191	7,514541985	0,065376547	0,360127947
0,050058621	 Peticion	7,471785724	0,6	4,483071435	7,471785724	0,069184073	0,374027287
0,052193103	 Peticion	7,428612245	0,6	4,457167347	7,428612245	0,073073225	0,387722327
0,054327586	 Peticion	7,385040712	0,6	4,431024427	7,385040712	0,077044338	0,401211436
0,056462069	 Peticion	7,341090758	0,6	4,404654455	7,341090758	0,081097696	0,414493173
0,058596552	 Peticion	7,29678243	0,6	4,378069458	7,29678243	0,085233532	0,427566289
0,060731034	 Peticion	7,252136131	0,6	4,351281679	7,252136131	0,089452033	0,440429729
0,062865517	 Peticion	7,207172569	0,6	4,324303541	7,207172569	0,093753334	0,453082631
0,065	 Peticion	7,161912696	0,6	4,297147618	7,161912696	0,098137524	0,465524325
